inn,normalized_inn,mfds_item_seq,mfds_item_name,mfds_company,mfds_date,mfds_is_new_drug,mfds_is_prescription,ema_brand_name,ema_date,ema_is_orphan,ema_is_prime,ema_is_conditional,ema_is_accelerated,ema_therapeutic_area,ema_atc_code,days_ema_to_mfds,mfds_before_ema,atc_level1,atc_level2,ema_year,ema_month
Tadalafil,tadalafil,201501883,조이롱정20밀리그램(타다라필),(주)에이프로젠바이오로직스,2015-04-08,False,True,Cialis,2002-11-12,False,False,False,False,Erectile Dysfunction,G04BE08,4530,False,G,G04,2002,11
Tadalafil,tadalafil,201501886,세니트엔정20mg(타다라필),동광제약(주),2015-04-08,False,True,Cialis,2002-11-12,False,False,False,False,Erectile Dysfunction,G04BE08,4530,False,G,G04,2002,11
Tadalafil,tadalafil,201501891,구구츄정20밀리그램(타다라필),한미약품(주),2015-04-08,False,True,Cialis,2002-11-12,False,False,False,False,Erectile Dysfunction,G04BE08,4530,False,G,G04,2002,11
Tadalafil,tadalafil,201501892,구구츄정10밀리그램(타다라필),한미약품(주),2015-04-08,False,True,Cialis,2002-11-12,False,False,False,False,Erectile Dysfunction,G04BE08,4530,False,G,G04,2002,11
Tadalafil,tadalafil,201501893,구구츄정5밀리그램(타다라필),한미약품(주),2015-04-08,False,True,Cialis,2002-11-12,False,False,False,False,Erectile Dysfunction,G04BE08,4530,False,G,G04,2002,11
Anhydrous Docetaxel,docetaxel,201501923,어코드도세탁셀주(도세탁셀무수물),명문제약(주),2015-04-09,False,True,Taxotere,1995-11-27,False,False,False,False,"Head and Neck Neoplasms;Carcinoma, Non-Small-Cell Lung;Adenocarcinoma;Prostatic Neoplasms;Stomach Neoplasms;Breast Neoplasms",L01CD02,7073,False,L,L01,1995,11
Tadalafil,tadalafil,201501932,코오롱타다라필정10mg(타다라필)(수출용),코오롱제약(주),2015-04-09,False,True,Cialis,2002-11-12,False,False,False,False,Erectile Dysfunction,G04BE08,4531,False,G,G04,2002,11
Tadalafil,tadalafil,201501933,코오롱타다라필정20mg(타다라필)(수출용),코오롱제약(주),2015-04-09,False,True,Cialis,2002-11-12,False,False,False,False,Erectile Dysfunction,G04BE08,4531,False,G,G04,2002,11
Olopatadine Hydrochloride,olopatadine,201501940,타파딘점안액(올로파타딘염산염),(주)킵스바이오파마,2015-04-09,False,True,Opatanol,2002-05-16,False,False,False,False,"Conjunctivitis, Allergic",S01GX09,4711,False,S,S01,2002,5
Tadalafil,tadalafil,201501944,고든정5mg(타다라필),(주)씨티씨바이오,2015-04-09,False,True,Cialis,2002-11-12,False,False,False,False,Erectile Dysfunction,G04BE08,4531,False,G,G04,2002,11
Tadalafil,tadalafil,201501946,카마라필정20밀리그램(타다라필),주식회사제뉴원사이언스,2015-04-09,False,True,Cialis,2002-11-12,False,False,False,False,Erectile Dysfunction,G04BE08,4531,False,G,G04,2002,11
Tadalafil,tadalafil,201501971,타다포스정20mg(타다라필),(주)유한양행,2015-04-10,False,True,Cialis,2002-11-12,False,False,False,False,Erectile Dysfunction,G04BE08,4532,False,G,G04,2002,11
Tadalafil,tadalafil,201501975,센트립구강용해필름20mg(타다라필),(주)씨엘팜,2015-04-10,False,True,Cialis,2002-11-12,False,False,False,False,Erectile Dysfunction,G04BE08,4532,False,G,G04,2002,11
Tadalafil,tadalafil,201501976,센트립구강용해필름10mg(타다라필),(주)씨엘팜,2015-04-10,False,True,Cialis,2002-11-12,False,False,False,False,Erectile Dysfunction,G04BE08,4532,False,G,G04,2002,11
Tadalafil,tadalafil,201501996,타다포스정5mg(타다라필),(주)유한양행,2015-04-13,False,True,Cialis,2002-11-12,False,False,False,False,Erectile Dysfunction,G04BE08,4535,False,G,G04,2002,11
Tadalafil,tadalafil,201501998,타다포스정10mg(타다라필),(주)유한양행,2015-04-13,False,True,Cialis,2002-11-12,False,False,False,False,Erectile Dysfunction,G04BE08,4535,False,G,G04,2002,11
Entecavir,entecavir,201502000,엔타이정0.5밀리그램(엔테카비르),(주)킵스바이오파마,2015-04-13,False,True,Baraclude,2006-06-26,False,False,False,False,"Hepatitis B, Chronic",J05AF10,3213,False,J,J05,2006,6
Tadalafil,tadalafil,201502213,빅토리스정5밀리그램(타다라필),국제약품(주),2015-04-14,False,True,Cialis,2002-11-12,False,False,False,False,Erectile Dysfunction,G04BE08,4536,False,G,G04,2002,11
Tadalafil,tadalafil,201502214,일양타다라필정5mg(타다라필),일양약품(주),2015-04-14,False,True,Cialis,2002-11-12,False,False,False,False,Erectile Dysfunction,G04BE08,4536,False,G,G04,2002,11
Tadalafil,tadalafil,201502216,더포르테씨정20밀리그램(타다라필),경동제약(주),2015-04-14,False,True,Cialis,2002-11-12,False,False,False,False,Erectile Dysfunction,G04BE08,4536,False,G,G04,2002,11
Tadalafil,tadalafil,201502217,더포르테씨정5밀리그램(타다라필),경동제약(주),2015-04-14,False,True,Cialis,2002-11-12,False,False,False,False,Erectile Dysfunction,G04BE08,4536,False,G,G04,2002,11
Tadalafil,tadalafil,201502238,센돔구강용해필름10밀리그램(타다라필),(주)종근당,2015-04-15,False,True,Cialis,2002-11-12,False,False,False,False,Erectile Dysfunction,G04BE08,4537,False,G,G04,2002,11
Tadalafil,tadalafil,201502239,센돔구강용해필름20밀리그램(타다라필),(주)종근당,2015-04-15,False,True,Cialis,2002-11-12,False,False,False,False,Erectile Dysfunction,G04BE08,4537,False,G,G04,2002,11
Celecoxib,celecoxib,201502257,세레비스캡슐(세레콕시브),(주)한국파비스제약,2015-04-15,False,True,Onsenal,2003-10-17,False,False,False,False,Adenomatous Polyposis Coli,L01XX33,4198,False,L,L01,2003,10
Telmisartan,telmisartan,201502262,미카르텔미정40밀리그램(텔미사르탄),제이더블유신약(주),2015-04-15,False,True,Pritor,1998-12-11,False,False,False,False,Hypertension,C09CA07,5969,False,C,C09,1998,12
Telmisartan,telmisartan,201502263,미카르텔미정80밀리그램(텔미사르탄),제이더블유신약(주),2015-04-15,False,True,Pritor,1998-12-11,False,False,False,False,Hypertension,C09CA07,5969,False,C,C09,1998,12
Tadalafil,tadalafil,201502266,세니트엔구강용해필름20mg(타다라필),동광제약(주),2015-04-15,False,True,Cialis,2002-11-12,False,False,False,False,Erectile Dysfunction,G04BE08,4537,False,G,G04,2002,11
Gefitinib,gefitinib,201502268,이레피논정(게피티니브),신풍제약(주),2015-04-15,False,True,Iressa,2009-06-24,False,False,False,False,"Carcinoma, Non-Small-Cell Lung",L01XE02,2121,False,L,L01,2009,6
Tadalafil,tadalafil,201502273,자이리스구강붕해필름20mg(타다라필),(주)동구바이오제약,2015-04-15,False,True,Cialis,2002-11-12,False,False,False,False,Erectile Dysfunction,G04BE08,4537,False,G,G04,2002,11
Tadalafil,tadalafil,201502291,카마라필정5밀리그램(타다라필),주식회사제뉴원사이언스,2015-04-15,False,True,Cialis,2002-11-12,False,False,False,False,Erectile Dysfunction,G04BE08,4537,False,G,G04,2002,11
Celecoxib,celecoxib,201502295,쎄렉시브캡슐200mg(세레콕시브),영일제약(주),2015-04-15,False,True,Onsenal,2003-10-17,False,False,False,False,Adenomatous Polyposis Coli,L01XX33,4198,False,L,L01,2003,10
Tadalafil,tadalafil,201502309,롱티메정20mg(타다라필),(주)한국파비스제약,2015-04-16,False,True,Cialis,2002-11-12,False,False,False,False,Erectile Dysfunction,G04BE08,4538,False,G,G04,2002,11
Tadalafil,tadalafil,201502311,세니트엔정5mg(타다라필),동광제약(주),2015-04-16,False,True,Cialis,2002-11-12,False,False,False,False,Erectile Dysfunction,G04BE08,4538,False,G,G04,2002,11
Celecoxib,celecoxib,201502333,콕스그린캡슐200밀리그램(세레콕시브),(주)킵스바이오파마,2015-04-16,False,True,Onsenal,2003-10-17,False,False,False,False,Adenomatous Polyposis Coli,L01XX33,4199,False,L,L01,2003,10
Tadalafil,tadalafil,201502340,롱티메정5mg(타다라필),(주)한국파비스제약,2015-04-17,False,True,Cialis,2002-11-12,False,False,False,False,Erectile Dysfunction,G04BE08,4539,False,G,G04,2002,11
Celecoxib,celecoxib,201502348,세렉캡슐(세레콕시브),(주)마더스제약,2015-04-17,False,True,Onsenal,2003-10-17,False,False,False,False,Adenomatous Polyposis Coli,L01XX33,4200,False,L,L01,2003,10
Raloxifene Hydrochloride,raloxifene,201502371,에비시펜정(라록시펜염산염),(주)휴온스,2015-04-17,False,True,Optruma,1998-08-05,False,False,False,False,"Osteoporosis, Postmenopausal",G03XC01,6099,False,G,G03,1998,8
Tobramycin,tobramycin,201502374,토비스타점안액(토브라마이신),(주)킵스바이오파마,2015-04-17,False,True,Tobi Podhaler,2011-07-20,False,False,False,False,Cystic Fibrosis;Respiratory Tract Infections,J01GB01,1367,False,J,J01,2011,7
Gefitinib,gefitinib,201502377,스펙사정250밀리그램(게피티니브),일동제약(주),2015-04-20,False,True,Iressa,2009-06-24,False,False,False,False,"Carcinoma, Non-Small-Cell Lung",L01XE02,2126,False,L,L01,2009,6
Celecoxib,celecoxib,201502397,셀레록스캡슐200mg(세레콕시브),(주)비보존제약,2015-04-22,False,True,Onsenal,2003-10-17,False,False,False,False,Adenomatous Polyposis Coli,L01XX33,4205,False,L,L01,2003,10
Tadalafil,tadalafil,201502405,해피롱정5밀리그램(타다라필),삼진제약(주),2015-04-23,False,True,Cialis,2002-11-12,False,False,False,False,Erectile Dysfunction,G04BE08,4545,False,G,G04,2002,11
Silodosin,silodosin,201502417,실루로신캡슐4밀리그램(실로도신),(주)비보존제약,2015-04-23,False,True,Urorec,2010-01-29,False,False,False,False,Prostatic Hyperplasia,G04CA04,1910,False,G,G04,2010,1
Levofloxacin Hydrate,levofloxacin,201502450,레사크라정100밀리그램(레보플록사신수화물),익수제약(주),2015-04-27,False,True,Quinsair,2015-03-25,False,False,False,False,Cystic Fibrosis;Respiratory Tract Infections,J01MA12,33,False,J,J01,2015,3
Aripiprazole,aripiprazole,201502454,아리피졸정2밀리그램(아리피프라졸),환인제약(주),2015-04-27,False,True,Abilify,2004-06-04,False,False,False,False,Schizophrenia;Bipolar Disorder,N05AX12,3979,False,N,N05,2004,6
Pregabalin,pregabalin,201502554,카발린캡슐75밀리그램(프레가발린),에이치케이이노엔(주),2015-04-28,False,True,Lyrica,2004-07-05,False,False,False,False,Epilepsy;Anxiety Disorders;Neuralgia,N02BF02,3949,False,N,N02,2004,7
Pregabalin,pregabalin,201502555,카발린캡슐150밀리그램(프레가발린),에이치케이이노엔(주),2015-04-28,False,True,Lyrica,2004-07-05,False,False,False,False,Epilepsy;Anxiety Disorders;Neuralgia,N02BF02,3949,False,N,N02,2004,7
Entecavir,entecavir,201502568,명문엔테카비르정0.5밀리그램,명문제약(주),2015-04-29,False,True,Baraclude,2006-06-26,False,False,False,False,"Hepatitis B, Chronic",J05AF10,3229,False,J,J05,2006,6
Entecavir,entecavir,201502569,명문엔테카비르정1.0밀리그램,명문제약(주),2015-04-29,False,True,Baraclude,2006-06-26,False,False,False,False,"Hepatitis B, Chronic",J05AF10,3229,False,J,J05,2006,6
Gefitinib,gefitinib,201502573,레피사정(게피티니브),광동제약(주),2015-04-29,False,True,Iressa,2009-06-24,False,False,False,False,"Carcinoma, Non-Small-Cell Lung",L01XE02,2135,False,L,L01,2009,6
Temozolomide,temozolomide,201502602,테몰드캡슐250밀리그램(테모졸로미드),신풍제약(주),2015-04-30,False,True,Temodal,1999-01-26,False,False,False,False,Glioma,L01AX03,5938,False,L,L01,1999,1
Temozolomide,temozolomide,201502603,테몰드캡슐20밀리그램(테모졸로미드),신풍제약(주),2015-04-30,False,True,Temodal,1999-01-26,False,False,False,False,Glioma,L01AX03,5938,False,L,L01,1999,1
Temozolomide,temozolomide,201502604,테몰드캡슐100밀리그램(테모졸로미드),신풍제약(주),2015-04-30,False,True,Temodal,1999-01-26,False,False,False,False,Glioma,L01AX03,5938,False,L,L01,1999,1
Silodosin,silodosin,201502605,후리패스캡슐(실로도신),한국휴텍스제약(주),2015-04-30,False,True,Urorec,2010-01-29,False,False,False,False,Prostatic Hyperplasia,G04CA04,1917,False,G,G04,2010,1
Silodosin,silodosin,201502717,트루패스구강붕해정8밀리그램(실로도신),제이더블유중외제약(주),2015-04-30,False,True,Urorec,2010-01-29,False,False,False,False,Prostatic Hyperplasia,G04CA04,1917,False,G,G04,2010,1
Posaconazole Micronized,posaconazole,201502727,녹사필장용정100밀리그램(포사코나졸(미분화)),한국엠에스디(주),2015-05-01,False,True,Noxafil,2005-10-25,False,False,False,False,Candidiasis;Mycoses;Coccidioidomycosis;Aspergillosis,J02AC04,3475,False,J,J02,2005,10
Tadalafil,tadalafil,201502756,고든구강용해필름10mg(타다라필)(수출명: CALIBERI orodispersible film 10mg),(주)씨티씨바이오,2015-05-06,False,True,Cialis,2002-11-12,False,False,False,False,Erectile Dysfunction,G04BE08,4558,False,G,G04,2002,11
Tadalafil,tadalafil,201502770,시알라필정20mg(타다라필),(주)일화,2015-05-07,False,True,Cialis,2002-11-12,False,False,False,False,Erectile Dysfunction,G04BE08,4559,False,G,G04,2002,11
Tadalafil,tadalafil,201502773,센돔정10밀리그램(타다라필),(주)종근당,2015-05-07,False,True,Cialis,2002-11-12,False,False,False,False,Erectile Dysfunction,G04BE08,4559,False,G,G04,2002,11
Tadalafil,tadalafil,201502774,센돔정5밀리그램(타다라필),(주)종근당,2015-05-07,False,True,Cialis,2002-11-12,False,False,False,False,Erectile Dysfunction,G04BE08,4559,False,G,G04,2002,11
Tadalafil,tadalafil,201502775,센돔정20밀리그램(타다라필),(주)종근당,2015-05-07,False,True,Cialis,2002-11-12,False,False,False,False,Erectile Dysfunction,G04BE08,4559,False,G,G04,2002,11
Levofloxacin Hydrate,levofloxacin,201502781,레보하이점안액(레보플록사신수화물),(주)킵스바이오파마,2015-05-07,False,True,Quinsair,2015-03-25,False,False,False,False,Cystic Fibrosis;Respiratory Tract Infections,J01MA12,43,False,J,J01,2015,3
Amikacin Sulfate,amikacin,201502807,동광아미카신주250mg(아미카신황산염),동광제약(주),2015-05-11,False,True,Arikayce liposomal,2020-10-27,True,False,False,False,Respiratory Tract Infections,J01GB06,-1996,True,J,J01,2020,10
Meloxicam,meloxicam,201502925,휴니즈멜록시캄캡슐7.5mg,(주)휴온스메디텍,2015-05-14,False,True,Flexicam,2006-04-10,False,False,False,False,,QM01AC06,3321,False,Q,QM0,2006,4
Pregabalin,pregabalin,201502966,뉴로가발린캡슐75밀리그램(프레가발린),(주)마더스제약,2015-05-18,False,True,Lyrica,2004-07-05,False,False,False,False,Epilepsy;Anxiety Disorders;Neuralgia,N02BF02,3969,False,N,N02,2004,7
Pregabalin,pregabalin,201502967,뉴로가발린캡슐150밀리그램(프레가발린),(주)마더스제약,2015-05-18,False,True,Lyrica,2004-07-05,False,False,False,False,Epilepsy;Anxiety Disorders;Neuralgia,N02BF02,3969,False,N,N02,2004,7
Pioglitazone Hydrochloride,pioglitazone,201502986,피오라정(피오글리타존염산염),(주)아이월드제약,2015-05-19,False,True,Glustin,2000-10-11,False,False,False,False,"Diabetes Mellitus, Type 2",A10BG03,5333,False,A,A10,2000,10
Telmisartan,telmisartan,201502987,텔미라정40밀리그램(텔미사르탄),하나제약(주),2015-05-19,False,True,Pritor,1998-12-11,False,False,False,False,Hypertension,C09CA07,6003,False,C,C09,1998,12
Levofloxacin Hydrate,levofloxacin,201503031,라이트레보점안액(레보플록사신수화물),(주)라이트팜텍,2015-05-20,False,True,Quinsair,2015-03-25,False,False,False,False,Cystic Fibrosis;Respiratory Tract Infections,J01MA12,56,False,J,J01,2015,3
Tadalafil,tadalafil,201503139,불티움정5밀리그램(타다라필),(주)서울제약,2015-05-26,False,True,Cialis,2002-11-12,False,False,False,False,Erectile Dysfunction,G04BE08,4578,False,G,G04,2002,11
Tadalafil,tadalafil,201503142,타오르정5밀리그램(타다라필),(주)대웅제약,2015-05-26,False,True,Cialis,2002-11-12,False,False,False,False,Erectile Dysfunction,G04BE08,4578,False,G,G04,2002,11
Tadalafil,tadalafil,201503143,타오르정20밀리그램(타다라필),(주)대웅제약,2015-05-26,False,True,Cialis,2002-11-12,False,False,False,False,Erectile Dysfunction,G04BE08,4578,False,G,G04,2002,11
Tadalafil,tadalafil,201503144,타오르정10밀리그램(타다라필),(주)대웅제약,2015-05-26,False,True,Cialis,2002-11-12,False,False,False,False,Erectile Dysfunction,G04BE08,4578,False,G,G04,2002,11
Silodosin,silodosin,201503145,실도신캡슐4밀리그램(실로도신),한미약품(주),2015-05-26,False,True,Urorec,2010-01-29,False,False,False,False,Prostatic Hyperplasia,G04CA04,1943,False,G,G04,2010,1
Gefitinib,gefitinib,201503147,제피티닙정250밀리그램(게피티니브),한미약품(주),2015-05-26,False,True,Iressa,2009-06-24,False,False,False,False,"Carcinoma, Non-Small-Cell Lung",L01XE02,2162,False,L,L01,2009,6
Tadalafil,tadalafil,201503170,뉴씨그라정5mg(타다라필),한국휴텍스제약(주),2015-05-27,False,True,Cialis,2002-11-12,False,False,False,False,Erectile Dysfunction,G04BE08,4579,False,G,G04,2002,11
Tadalafil,tadalafil,201503183,타오르구강붕해필름20밀리그램(타다라필),(주)대웅제약,2015-05-27,False,True,Cialis,2002-11-12,False,False,False,False,Erectile Dysfunction,G04BE08,4579,False,G,G04,2002,11
Tadalafil,tadalafil,201503184,타오르구강붕해필름10밀리그램(타다라필),(주)대웅제약,2015-05-27,False,True,Cialis,2002-11-12,False,False,False,False,Erectile Dysfunction,G04BE08,4579,False,G,G04,2002,11
Celecoxib,celecoxib,201503251,쎄레젠캡슐200mg(세레콕시브),(주)셀릭스,2015-05-28,False,True,Onsenal,2003-10-17,False,False,False,False,Adenomatous Polyposis Coli,L01XX33,4241,False,L,L01,2003,10
Temozolomide,temozolomide,201503271,테모람캡슐250밀리그램(테모졸로미드),일동제약(주),2015-05-28,False,True,Temodal,1999-01-26,False,False,False,False,Glioma,L01AX03,5966,False,L,L01,1999,1
Temozolomide,temozolomide,201503272,테모람캡슐100밀리그램(테모졸로미드),일동제약(주),2015-05-28,False,True,Temodal,1999-01-26,False,False,False,False,Glioma,L01AX03,5966,False,L,L01,1999,1
Temozolomide,temozolomide,201503273,테모람캡슐20밀리그램(테모졸로미드),일동제약(주),2015-05-28,False,True,Temodal,1999-01-26,False,False,False,False,Glioma,L01AX03,5966,False,L,L01,1999,1
Tadalafil,tadalafil,201503283,고든구강용해필름5mg(타다라필)(수출명: CALIBERI orodispersible film 5mg),(주)씨티씨바이오,2015-05-28,False,True,Cialis,2002-11-12,False,False,False,False,Erectile Dysfunction,G04BE08,4580,False,G,G04,2002,11
Tadalafil,tadalafil,201503288,타다프리정20밀리그램(타다라필),알보젠코리아(주),2015-05-29,False,True,Cialis,2002-11-12,False,False,False,False,Erectile Dysfunction,G04BE08,4581,False,G,G04,2002,11
Tadalafil,tadalafil,201503289,타다프리정5밀리그램(타다라필),알보젠코리아(주),2015-05-29,False,True,Cialis,2002-11-12,False,False,False,False,Erectile Dysfunction,G04BE08,4581,False,G,G04,2002,11
Tadalafil,tadalafil,201503293,엠스트롱정5밀리그램(타다라필),동국제약(주),2015-05-29,False,True,Cialis,2002-11-12,False,False,False,False,Erectile Dysfunction,G04BE08,4581,False,G,G04,2002,11
Tadalafil,tadalafil,201503295,엠스트롱정20밀리그램(타다라필),동국제약(주),2015-05-29,False,True,Cialis,2002-11-12,False,False,False,False,Erectile Dysfunction,G04BE08,4581,False,G,G04,2002,11
Tadalafil,tadalafil,201503300,더플러스정5밀리그램(타다라필),(주)킵스바이오파마,2015-05-29,False,True,Cialis,2002-11-12,False,False,False,False,Erectile Dysfunction,G04BE08,4581,False,G,G04,2002,11
Tadalafil,tadalafil,201503301,데일라정5mg(타다라필),알리코제약(주),2015-05-29,False,True,Cialis,2002-11-12,False,False,False,False,Erectile Dysfunction,G04BE08,4581,False,G,G04,2002,11
Tadalafil,tadalafil,201503302,일나스정5밀리그램(타다라필),(주)넥스팜코리아,2015-05-29,False,True,Cialis,2002-11-12,False,False,False,False,Erectile Dysfunction,G04BE08,4581,False,G,G04,2002,11
Tadalafil,tadalafil,201503304,타올라스정5밀리그램(타다라필),(주)셀트리온제약,2015-05-29,False,True,Cialis,2002-11-12,False,False,False,False,Erectile Dysfunction,G04BE08,4581,False,G,G04,2002,11
Tadalafil,tadalafil,201503305,타올라스정20밀리그램(타다라필),(주)셀트리온제약,2015-05-29,False,True,Cialis,2002-11-12,False,False,False,False,Erectile Dysfunction,G04BE08,4581,False,G,G04,2002,11
Silodosin,silodosin,201503468,실버도신캡슐4밀리그램(실로도신)(수출용),(주)종근당,2015-05-29,False,True,Urorec,2010-01-29,False,False,False,False,Prostatic Hyperplasia,G04CA04,1946,False,G,G04,2010,1
Silodosin,silodosin,201503488,실버도신캡슐8밀리그램(실로도신)(수출용),(주)종근당,2015-05-29,False,True,Urorec,2010-01-29,False,False,False,False,Prostatic Hyperplasia,G04CA04,1946,False,G,G04,2010,1
Tadalafil,tadalafil,201503492,윕스정5밀리그램(타다라필),주식회사더유제약,2015-05-29,False,True,Cialis,2002-11-12,False,False,False,False,Erectile Dysfunction,G04BE08,4581,False,G,G04,2002,11
Tadalafil,tadalafil,201503493,윕스정20밀리그램(타다라필),주식회사더유제약,2015-05-29,False,True,Cialis,2002-11-12,False,False,False,False,Erectile Dysfunction,G04BE08,4581,False,G,G04,2002,11
Gefitinib,gefitinib,201503506,이레티닙정250밀리그램(게피티니브),(주)종근당,2015-05-29,False,True,Iressa,2009-06-24,False,False,False,False,"Carcinoma, Non-Small-Cell Lung",L01XE02,2165,False,L,L01,2009,6
Meloxicam,meloxicam,201503642,멜록캡슐7.5mg(멜록시캄),조아제약(주),2015-06-08,False,True,Flexicam,2006-04-10,False,False,False,False,,QM01AC06,3346,False,Q,QM0,2006,4
Memantine Hydrochloride,memantine,201503647,메모틴정10밀리그램(메만틴염산염),(주)셀트리온제약,2015-06-08,False,True,Ebixa,2002-05-15,False,False,False,False,Alzheimer Disease,N06DX01,4772,False,N,N06,2002,5
Umeclidinium Bromide Micronized,umeclidinium bromide,201504150,인크루즈엘립타(유메클리디늄브롬화물),(주)글락소스미스클라인,2015-06-25,False,True,Incruse Ellipta (previously Incruse),2014-04-28,False,False,False,False,"Pulmonary Disease, Chronic Obstructive",R03BB07,423,False,R,R03,2014,4
Celecoxib,celecoxib,201504160,크리콕스캡슐100밀리그램(세레콕시브),삼진제약(주),2015-06-26,False,True,Onsenal,2003-10-17,False,False,False,False,Adenomatous Polyposis Coli,L01XX33,4270,False,L,L01,2003,10
Levofloxacin Hydrate,levofloxacin,201504161,타레린주500밀리그램(레보플록사신수화물),명문제약(주),2015-06-26,False,True,Quinsair,2015-03-25,False,False,False,False,Cystic Fibrosis;Respiratory Tract Infections,J01MA12,93,False,J,J01,2015,3
Celecoxib,celecoxib,201504176,뉴브렉스캡슐200mg(세레콕시브),화일약품(주),2015-06-29,False,True,Onsenal,2003-10-17,False,False,False,False,Adenomatous Polyposis Coli,L01XX33,4273,False,L,L01,2003,10
Risperidone,risperidone,201504182,명문리스페리돈정2mg,명문제약(주),2015-06-29,False,True,Okedi,2022-02-14,False,False,False,False,Schizophrenia,N05AX08,-2422,True,N,N05,2022,2
Zinc Sulfate Hydrate,zinc,201504188,징크온주(황산아연수화물),동광제약(주),2015-06-29,False,True,Wilzin,2004-10-12,False,False,False,False,Hepatolenticular Degeneration,A16AX05,3912,False,A,A16,2004,10
Tadalafil,tadalafil,201504229,제대로필구강용해필름10밀리그램(타다라필),(주)씨엠지제약,2015-06-30,False,True,Cialis,2002-11-12,False,False,False,False,Erectile Dysfunction,G04BE08,4613,False,G,G04,2002,11
Tadalafil,tadalafil,201504230,제대로필구강용해필름20밀리그램(타다라필),(주)씨엠지제약,2015-06-30,False,True,Cialis,2002-11-12,False,False,False,False,Erectile Dysfunction,G04BE08,4613,False,G,G04,2002,11
Levofloxacin Hydrate,levofloxacin,201504243,셀비텐주(레보플록사신수화물)(수출용),대한뉴팜(주),2015-06-30,False,True,Quinsair,2015-03-25,False,False,False,False,Cystic Fibrosis;Respiratory Tract Infections,J01MA12,97,False,J,J01,2015,3
Tadalafil,tadalafil,201504269,뉴씨그라구강용해필름20mg(타다라필),한국휴텍스제약(주),2015-06-30,False,True,Cialis,2002-11-12,False,False,False,False,Erectile Dysfunction,G04BE08,4613,False,G,G04,2002,11
Tadalafil,tadalafil,201504301,"설레구강용해필름10밀리그램(타다라필)
",대화제약(주),2015-06-30,False,True,Cialis,2002-11-12,False,False,False,False,Erectile Dysfunction,G04BE08,4613,False,G,G04,2002,11
Tadalafil,tadalafil,201504302,설레구강용해필름20밀리그램(타다라필),대화제약(주),2015-06-30,False,True,Cialis,2002-11-12,False,False,False,False,Erectile Dysfunction,G04BE08,4613,False,G,G04,2002,11
Silodosin,silodosin,201504347,실도신캡슐8밀리그램(실로도신),한미약품(주),2015-07-02,False,True,Urorec,2010-01-29,False,False,False,False,Prostatic Hyperplasia,G04CA04,1980,False,G,G04,2010,1
Levetiracetam,levetiracetam,201504493,레비탐정500밀리그램(레비티라세탐),(주)셀트리온제약,2015-07-02,False,True,Keppra,2000-09-29,False,False,False,False,Epilepsy,N03AX14,5389,False,N,N03,2000,9
Levetiracetam,levetiracetam,201504494,레비탐정250밀리그램(레비티라세탐),(주)셀트리온제약,2015-07-02,False,True,Keppra,2000-09-29,False,False,False,False,Epilepsy,N03AX14,5389,False,N,N03,2000,9
Levetiracetam,levetiracetam,201504495,레비탐정1000밀리그램(레비티라세탐),(주)셀트리온제약,2015-07-02,False,True,Keppra,2000-09-29,False,False,False,False,Epilepsy,N03AX14,5389,False,N,N03,2000,9
Zinc Sulfate Hydrate,zinc,201504712,징크인주(황산아연수화물),대한약품공업(주),2015-07-09,False,True,Wilzin,2004-10-12,False,False,False,False,Hepatolenticular Degeneration,A16AX05,3922,False,A,A16,2004,10
Perampanel,perampanel,201504769,파이콤파필름코팅정2밀리그램(페람파넬),한국에자이(주),2015-07-10,False,True,Fycompa,2012-07-23,False,False,False,False,"Epilepsies, Partial",N03AX22,1082,False,N,N03,2012,7
Perampanel,perampanel,201504770,파이콤파필름코팅정4밀리그램(페람파넬),한국에자이(주),2015-07-10,False,True,Fycompa,2012-07-23,False,False,False,False,"Epilepsies, Partial",N03AX22,1082,False,N,N03,2012,7
Perampanel,perampanel,201504771,파이콤파필름코팅정6밀리그램(페람파넬),한국에자이(주),2015-07-10,False,True,Fycompa,2012-07-23,False,False,False,False,"Epilepsies, Partial",N03AX22,1082,False,N,N03,2012,7
Perampanel,perampanel,201504772,파이콤파필름코팅정8밀리그램(페람파넬),한국에자이(주),2015-07-10,False,True,Fycompa,2012-07-23,False,False,False,False,"Epilepsies, Partial",N03AX22,1082,False,N,N03,2012,7
Perampanel,perampanel,201504773,파이콤파필름코팅정10밀리그램(페람파넬),한국에자이(주),2015-07-10,False,True,Fycompa,2012-07-23,False,False,False,False,"Epilepsies, Partial",N03AX22,1082,False,N,N03,2012,7
Perampanel,perampanel,201504774,파이콤파필름코팅정12밀리그램(페람파넬),한국에자이(주),2015-07-10,False,True,Fycompa,2012-07-23,False,False,False,False,"Epilepsies, Partial",N03AX22,1082,False,N,N03,2012,7
Thalidomide,thalidomide,201504775,탈라이드캡슐50mg(탈리도마이드),제이텍바이오팜,2015-07-10,False,True,Thalidomide BMS (previously Thalidomide Celgene),2008-04-16,False,False,False,False,Multiple Myeloma,L04AX02,2641,False,L,L04,2008,4
Thalidomide,thalidomide,201504776,탈라이드캡슐100mg(탈리도마이드),제이텍바이오팜,2015-07-10,False,True,Thalidomide BMS (previously Thalidomide Celgene),2008-04-16,False,False,False,False,Multiple Myeloma,L04AX02,2641,False,L,L04,2008,4
