inn,normalized_inn,fda_date,fda_brand_name,fda_sponsor,mfds_date,mfds_item_name,mfds_company,days_fda_to_mfds,mfds_before_fda
Gemcitabine Hydrochloride,gemcitabine,2016-04-07,GEMCITABINE,HOSPIRA INC,2006-03-27,젬타빈주200밀리그램(젬시타빈염산염)(수출용),한국유나이티드제약(주),-3664,True
Cefazolin Sodium,cefazolin,2022-10-07,CEFAZOLIN,HIKMA,2006-01-12,"케이디세파졸린나트륨주1g(수출용)(수출명: Hawarin Inj., Devicine Inj.)",경동제약(주),-6112,True
Clopidogrel Bisulfate,clopidogrel bi,2001-07-19,PLAVIX,SANOFI AVENTIS US,2006-02-27,프라빅정(클로피도그렐황산수소염),신일제약(주),1684,False
Losartan Potassium,losartan,1998-08-31,COZAAR,ORGANON,2006-02-10,로자파정(로사르탄칼륨),(주)한국파비스제약,2720,False
Losartan Potassium,losartan,1998-08-31,COZAAR,ORGANON,2006-02-08,코잘탄정(로사르탄칼륨),영풍제약(주),2718,False
Losartan Potassium,losartan,1998-08-31,COZAAR,ORGANON,2006-03-31,로사트정50밀리그램(로사르탄칼륨),(주)하원제약,2769,False
Topiramate,topiramate,2003-06-12,TOPAMAX,JANSSEN PHARMS,2006-02-02,세티정(토피라메이트),(주)휴온스,966,False
Losartan Potassium,losartan,1998-08-31,COZAAR,ORGANON,2006-02-28,코로자정50밀리그람(로사르탄칼륨),(주)테라젠이텍스,2738,False
Losartan Potassium,losartan,1998-08-31,COZAAR,ORGANON,2006-04-28,코자릴정(로사르탄칼륨),(주)넥스팜코리아,2797,False
Hydrocortisone,hydrocortisone,2016-09-08,CORTEF,PHARMACIA AND UPJOHN,2006-04-27,하이드로정(히드로코르티손),주식회사제뉴원사이언스,-3787,True
Losartan Potassium,losartan,1998-08-31,COZAAR,ORGANON,2006-03-31,루자탄정50밀리그램(로사르탄칼륨),(주)에이프로젠바이오로직스,2769,False
Sodium Chloride,chloride,1981-02-23,SODIUM CHLORIDE,BAXTER HLTHCARE,2006-02-23,중외엔에스주사액(염화나트륨),제이더블유생명과학(주),9131,False
Nitrogen,nitrogen,2013-07-23,NITROGEN,ASPEN AIR,2006-03-29,대흥의료용질소,대흥산업가스주식회사,-2673,True
Celecoxib,celecoxib,2024-11-21,CELEBREX,UPJOHN,2006-09-11,쎄레브렉스캡슐100밀리그램(세레콕시브),비아트리스코리아(주),-6646,True
Lamotrigine,lamotrigine,2025-09-16,SUBVENITE,OWP PHARMS,2006-03-08,라믹탈츄어블정5밀리그램(라모트리진),(주)글락소스미스클라인,-7132,True
Lamotrigine,lamotrigine,2025-09-16,SUBVENITE,OWP PHARMS,2006-05-01,라믹탈츄어블정2밀리그램(라모트리진),(주)글락소스미스클라인,-7078,True
Mirtazapine,mirtazapine,2001-01-26,REMERON,ORGANON,2006-03-27,레메론정15밀리그램(미르타자핀),한국오가논(주),1886,False
Triamcinolone Acetonide,triamcinolone acetonide,2007-11-29,TRIESENCE,HARROW EYE,2006-03-24,나자코트비액(트리암시놀론아세토니드),오펠라헬스케어코리아(주),-615,True
Azacitidine,azacitidine,2024-12-19,AZACITIDINE,ACTAVIS LLC,2006-01-27,비다자주100밀리그램(아자시티딘),(유)한국비엠에스제약,-6901,True
Losartan Potassium,losartan,1998-08-31,COZAAR,ORGANON,2006-05-04,로사르정50밀리그램(로사르탄칼륨),한국휴텍스제약(주),2803,False
Torsemide,torsemide,2021-11-17,SOAANZ,SARFE PHARMS,2006-05-17,세토람정2.5밀리그램(토라세미드),일동제약(주),-5663,True
Topiramate,topiramate,2003-06-12,TOPAMAX,JANSSEN PHARMS,2006-05-23,토파씬정25밀리그램(토피라메이트),(주)바이넥스,1076,False
Clindamycin Phosphate,clindamycin phosphate,2023-03-06,XACIATO,ORGANON LLC,2006-04-27,듀오크린액(클린다마이신포스페이트),동성제약(주),-6157,True
Clopidogrel Bisulfate,clopidogrel bi,2001-07-19,PLAVIX,SANOFI AVENTIS US,2006-05-04,클로펙트정(클로피도그렐황산염),안국약품(주),1750,False
Gabapentin,gabapentin,2000-09-19,NEURONTIN,VIATRIS,2006-05-04,가펜틴캡슐100밀리그램(가바펜틴)(수출용),명인제약(주),2053,False
Clopidogrel Bisulfate,clopidogrel bi,2001-07-19,PLAVIX,SANOFI AVENTIS US,2006-05-04,크리빅스정(클로피도그렐황산수소염),진양제약(주),1750,False
Topiramate,topiramate,2003-06-12,TOPAMAX,JANSSEN PHARMS,2006-05-26,토피라맥스정25mg(토피라메이트),(주)셀릭스,1079,False
Torsemide,torsemide,2021-11-17,SOAANZ,SARFE PHARMS,2006-05-26,토르신정10밀리그람(토르세미드),오스틴제약(주),-5654,True
Torsemide,torsemide,2021-11-17,SOAANZ,SARFE PHARMS,2006-05-26,토르신정5밀리그람(토르세미드),오스틴제약(주),-5654,True
Clopidogrel Bisulfate,clopidogrel bi,2001-07-19,PLAVIX,SANOFI AVENTIS US,2006-05-03,인히플라정(클로피도그렐황산염),경동제약(주),1749,False
Losartan Potassium,losartan,1998-08-31,COZAAR,ORGANON,2006-05-09,자르탄정(로사르탄칼륨),신일제약(주),2808,False
Loperamide Hydrochloride,loperamide,1988-12-06,IMODIUM A-D,KENVUE BRANDS,2006-05-30,마페드캡슐(염산로페라미드)(수출용),(주)씨엠지제약,6384,False
Topiramate,topiramate,2003-06-12,TOPAMAX,JANSSEN PHARMS,2006-05-29,토파민정25밀리그람(토피라메이트),명문제약(주),1082,False
Fluoxetine Hydrochloride,fluoxetine,2011-10-06,FLUOXETINE HCL,TWI PHARMS,2006-05-23,유니작정10밀리그람(플루옥세틴염산염),유니메드제약(주),-1962,True
Oxygen,oxygen,2013-07-23,OXYGEN,ASPEN AIR,2006-05-12,대성가스텍의료용산소,대성가스텍(주),-2629,True
Gabapentin,gabapentin,2000-09-19,NEURONTIN,VIATRIS,2006-03-15,뉴론틴정600밀리그램(가바펜틴),비아트리스코리아(주),2003,False
Hyaluronidase,hyaluronidase,2004-12-02,VITRASE,BAUSCH AND LOMB,2006-02-16,하이라제 데사우주150 I.U(히알우로니다제),제이텍바이오젠,441,False
Granisetron Hydrochloride,granisetron,2023-05-25,SUSTOL,HERON THERAPS INC,2006-06-09,카니트론주(그라니세트론염산염),이연제약(주),-6194,True
Gemcitabine Hydrochloride,gemcitabine,2016-04-07,GEMCITABINE,HOSPIRA INC,2006-06-02,젬자주1그램(젬시타빈염산염),(주)보령,-3597,True
Topiramate,topiramate,2003-06-12,TOPAMAX,JANSSEN PHARMS,2006-06-22,토피라트정25밀리그램(토피라메이트),환인제약(주),1106,False
Topiramate,topiramate,2003-06-12,TOPAMAX,JANSSEN PHARMS,2006-02-08,토펙스정100밀리그람(토피라메이트)(수출용),구주제약(주),972,False
Topiramate,topiramate,2003-06-12,TOPAMAX,JANSSEN PHARMS,2006-06-02,유니토파정25밀리그람(토피라메이트),유니메드제약(주),1086,False
Nitrous Oxide,nitrous oxide,2017-01-09,NITROUS OXIDE,MATHESON TRI-GAS INC,2006-06-12,제일의료용아산화질소,(주)제일가스,-3864,True
Gabapentin,gabapentin,2000-09-19,NEURONTIN,VIATRIS,2006-03-15,뉴론틴정800밀리그램(가바펜틴),비아트리스코리아(주),2003,False
Gabapentin,gabapentin,2000-09-19,NEURONTIN,VIATRIS,2006-07-21,동아가바펜틴정600밀리그램(가바펜틴),동아에스티(주),2131,False
Ibuprofen,ibuprofen,2000-01-18,ADVIL COLD AND SINUS,HALEON US HOLDINGS,2006-10-20,이브듀오시럽(이부프로펜),삼아제약(주),2467,False
Hydrocortisone,hydrocortisone,2016-09-08,CORTEF,PHARMACIA AND UPJOHN,2006-11-07,히든정(히드로코르티손),오스틴제약(주),-3593,True
Vancomycin Hydrochloride,vancomycin,2021-01-29,VANCOMYCIN HYDROCHLORIDE FOR ORAL SOLUTION,AZURITY,2006-11-17,비씨반코마이신염산염주500밀리그램,(주)비씨월드제약,-5187,True
Clopidogrel Bisulfate,clopidogrel bi,2001-07-19,PLAVIX,SANOFI AVENTIS US,2006-06-27,플라메드정(클로피도그렐황산염)[수출명:플라독스정(FLADOXTablet),고려제약(주),1804,False
Losartan Potassium,losartan,1998-08-31,COZAAR,ORGANON,2006-10-26,로제트정(로사르탄칼륨),동광제약(주),2978,False
Metformin Hydrochloride,metformin,2019-08-12,JANUMET,MSD SUB MERCK,2006-08-23,글라비스서방정500밀리그람(메트포르민염산염),국제약품(주),-4737,True
Clopidogrel Bisulfate,clopidogrel bi,2001-07-19,PLAVIX,SANOFI AVENTIS US,2006-10-31,트롬빅스정(클로피도그렐황산수소염),일동제약(주),1930,False
Metformin Hydrochloride,metformin,2019-08-12,JANUMET,MSD SUB MERCK,2006-08-23,글리렙서방정 (메트포르민염산염),(주)바이넥스,-4737,True
Metformin Hydrochloride,metformin,2019-08-12,JANUMET,MSD SUB MERCK,2006-09-04,다이아빅서방정(메트포르민염산염),삼아제약(주),-4725,True
Metformin Hydrochloride,metformin,2019-08-12,JANUMET,MSD SUB MERCK,2006-08-23,휴온스메트포르민서방정(메트포르민염산염),(주)휴온스,-4737,True
Clopidogrel Bisulfate,clopidogrel bi,2001-07-19,PLAVIX,SANOFI AVENTIS US,2006-11-22,큐로빅스정(클로피도그렐황산염),(주)메디카코리아,1952,False
Vancomycin Hydrochloride,vancomycin,2021-01-29,VANCOMYCIN HYDROCHLORIDE FOR ORAL SOLUTION,AZURITY,2006-11-22,비씨반코마이신염산염주1그램,(주)비씨월드제약,-5182,True
Hydroxocobalamin,hydroxocobalamin,2010-10-13,CYANOKIT,BTG INTL,2006-11-24,하이록소주(히드록소코발라민),일양바이오팜(주),-1419,True
Clopidogrel Bisulfate,clopidogrel bi,2001-07-19,PLAVIX,SANOFI AVENTIS US,2006-11-24,클로아트정(클로피도그렐황산염),(주)대웅제약,1954,False
Azelaic Acid Micronized,azelaic acid,2015-07-29,FINACEA FOAM,LEO PHARMA AS,2006-11-24,아젤리아크림(아젤라산(미분화)),레오파마(유),-3169,True
Meloxicam,meloxicam,2025-06-05,XIFYRM,AZURITY,2006-11-21,멜릭스캡슐(멜록시캄),경동제약(주),-6771,True
Topiramate,topiramate,2003-06-12,TOPAMAX,JANSSEN PHARMS,2006-06-28,토피라정25밀리그램(토피라메이트),한미약품(주),1112,False
Topiramate,topiramate,2003-06-12,TOPAMAX,JANSSEN PHARMS,2006-05-26,토피리드정25밀리그램(토피라메이트),광동제약(주),1079,False
Metformin Hydrochloride,metformin,2019-08-12,JANUMET,MSD SUB MERCK,2006-09-04,메트포민서방정(메트포르민염산염),위더스제약(주),-4725,True
Gabapentin,gabapentin,2000-09-19,NEURONTIN,VIATRIS,2006-07-21,가바렉스정600밀리그램(가바펜틴),(주)씨엠지제약,2131,False
Fluoxetine Hydrochloride,fluoxetine,2011-10-06,FLUOXETINE HCL,TWI PHARMS,2006-10-31,옥세틴캡슐(플루옥세틴염산염),조아제약(주),-1801,True
Topiramate,topiramate,2003-06-12,TOPAMAX,JANSSEN PHARMS,2006-10-13,세티정25밀리그람(토피라메이트),(주)휴온스,1219,False
Meloxicam,meloxicam,2025-06-05,XIFYRM,AZURITY,2006-08-24,목시캄캡슐(멜록시캄),(주)유영제약,-6860,True
Metformin Hydrochloride,metformin,2019-08-12,JANUMET,MSD SUB MERCK,2006-08-23,디마폴민서방정(메트포르민염산염),알보젠코리아(주),-4737,True
Clopidogrel Bisulfate,clopidogrel bi,2001-07-19,PLAVIX,SANOFI AVENTIS US,2006-07-26,클로본스정(클로피도그렐황산염),대웅바이오(주),1833,False
Dinoprostone,dinoprostone,2000-02-11,CERVIDIL,FERRING PHARMS INC,2006-07-31,프로페스질서방정(디노프로스톤),한국페링제약(주),2362,False
Nebivolol Hydrochloride,nebivolol,2014-10-30,BYSTOLIC,ALLERGAN,2006-08-28,네비레트정(네비보롤염산염(미분화)),한국메나리니(주),-2985,True
Aprepitant,aprepitant,2019-02-26,CINVANTI,HERON THERAPS INC,2006-09-18,에멘드캡슐80밀리그램(아프레피탄트),한국엠에스디(주),-4544,True
Aprepitant,aprepitant,2019-02-26,CINVANTI,HERON THERAPS INC,2006-09-18,에멘드캡슐125밀리그램(아프레피탄트),한국엠에스디(주),-4544,True
Cetirizine Hydrochloride,cetirizine,2009-07-23,CETIRIZINE HCL,BIONPHARMA,2006-06-26,지르텍정(세티리진염산염),한국유씨비제약(주),-1123,True
Ibuprofen,ibuprofen,2000-01-18,ADVIL COLD AND SINUS,HALEON US HOLDINGS,2006-07-07,애드빌리퀴겔연질캡슐(이부프로펜),헤일리온코리아주식회사,2362,False
Metformin Hydrochloride,metformin,2019-08-12,JANUMET,MSD SUB MERCK,2006-12-14,다이아민엑스알서방정(메트포르민염산염),동광제약(주),-4624,True
Fluoxetine Hydrochloride,fluoxetine,2011-10-06,FLUOXETINE HCL,TWI PHARMS,2006-11-29,푸록틴확산정20밀리그램(플루옥세틴염산염),명인제약(주),-1772,True
Lamotrigine,lamotrigine,2025-09-16,SUBVENITE,OWP PHARMS,2006-12-12,라모티진정100밀리그램(라모트리진),부광약품(주),-6853,True
Losartan Potassium,losartan,1998-08-31,COZAAR,ORGANON,2006-11-28,로사타정(로사르탄칼륨),경동제약(주),3011,False
Torsemide,torsemide,2021-11-17,SOAANZ,SARFE PHARMS,2006-11-29,토르셈정10밀리그램(토르세미드),한미약품(주),-5467,True
Fluoxetine Hydrochloride,fluoxetine,2011-10-06,FLUOXETINE HCL,TWI PHARMS,2006-12-01,로세틴캡슐10밀리그램(플루옥세틴염산염),명문제약(주),-1770,True
Oxcarbazepine,oxcarbazepine,2013-02-08,TRILEPTAL,NOVARTIS,2006-11-23,트리렙탈현탁액6%(옥스카르바제핀),한국노바티스(주),-2269,True
Torsemide,torsemide,2021-11-17,SOAANZ,SARFE PHARMS,2006-12-08,토렘정10밀리그람(토라세미드),한국메나리니(주),-5458,True
Torsemide,torsemide,2021-11-17,SOAANZ,SARFE PHARMS,2006-12-08,토렘정5밀리그람(토라세미드),한국메나리니(주),-5458,True
Torsemide,torsemide,2021-11-17,SOAANZ,SARFE PHARMS,2006-12-08,토렘정2.5밀리그람(토라세미드),한국메나리니(주),-5458,True
Acyclovir,acyclovir,2009-07-31,XERESE,BAUSCH,2006-12-18,경남아시클로버크림(아시클로버),경남제약(주),-956,True
Fluoxetine Hydrochloride,fluoxetine,2011-10-06,FLUOXETINE HCL,TWI PHARMS,2006-12-29,로랑캡슐10밀리그램(플루옥세틴염산염),(주)서울제약,-1742,True
Levonorgestrel,levonorgestrel,2016-01-29,LILETTA,MEDICINES360,2007-01-04,노레보원정(레보노르게스트렐),현대약품(주),-3312,True
Clopidogrel Bisulfate,clopidogrel bi,2001-07-19,PLAVIX,SANOFI AVENTIS US,2007-01-22,플라빅스정75밀리그램(클로피도그렐황산염),(주)한독,2013,False
Clopidogrel Bisulfate,clopidogrel bi,2001-07-19,PLAVIX,SANOFI AVENTIS US,2007-01-11,휴로픽스정(클로피도그렐황산수소염),한국휴텍스제약(주),2002,False
Dasatinib,dasatinib,2025-08-01,PHYRAGO,HANDA THERAP,2007-01-25,스프라이셀정70밀리그램(다사티닙),(유)한국비엠에스제약,-6763,True
Dasatinib,dasatinib,2025-08-01,PHYRAGO,HANDA THERAP,2007-01-25,스프라이셀정50밀리그램(다사티닙),(유)한국비엠에스제약,-6763,True
Dasatinib,dasatinib,2025-08-01,PHYRAGO,HANDA THERAP,2007-01-25,스프라이셀정20밀리그램(다사티닙),(유)한국비엠에스제약,-6763,True
Hydrocortisone,hydrocortisone,2016-09-08,CORTEF,PHARMACIA AND UPJOHN,2007-01-26,코로손정(히드로코르티손),영일제약(주),-3513,True
Clopidogrel Bisulfate,clopidogrel bi,2001-07-19,PLAVIX,SANOFI AVENTIS US,2007-01-26,플라벨정(클로피도그렐황산수소염),(주)서울제약,2017,False
Fluoxetine Hydrochloride,fluoxetine,2011-10-06,FLUOXETINE HCL,TWI PHARMS,2007-01-25,플루세틴캡슐20mg(플루옥세틴염산염),(주)비보존제약,-1715,True
Gabapentin,gabapentin,2000-09-19,NEURONTIN,VIATRIS,2007-01-31,뉴가바캡슐100밀리그람(가바펜틴),하나제약(주),2325,False
Metformin Hydrochloride,metformin,2019-08-12,JANUMET,MSD SUB MERCK,2005-12-14,글루코프리서방정500밀리그램(메트포르민염산염),한올바이오파마(주),-4989,True
Losartan Potassium,losartan,1998-08-31,COZAAR,ORGANON,2007-01-31,살로탄정50밀리그램(로사르탄칼륨),(주)종근당,3075,False
Quetiapine Fumarate,quetiapine fumarate,2007-05-17,SEROQUEL XR,CHEPLAPHARM,2007-01-31,쿠에타핀정100밀리그램(쿠에티아핀푸마르산염),환인제약(주),-106,True
Hydrocortisone,hydrocortisone,2016-09-08,CORTEF,PHARMACIA AND UPJOHN,2007-02-05,히로신정(히드로코르티손)(수출용),대화제약(주),-3503,True
Ciprofloxacin Hydrochloride,ciprofloxacin,2001-09-14,CIPROFLOXACIN HYDROCHLORIDE,SANDOZ,2007-02-09,키노베스정500밀리그램(시프로플록사신염산염)(수출용),삼진제약(주),1974,False
Acyclovir,acyclovir,2009-07-31,XERESE,BAUSCH,2003-07-18,"이텍스아시클로버정400밀리그람(수출용)
(수출명:VIREX Tab. 400mg,
Aclovia Tab. 400mg)",(주)테라젠이텍스,-2205,True
Losartan Potassium,losartan,1998-08-31,COZAAR,ORGANON,2007-02-12,로자살탄정100밀리그람(로사르탄칼륨),(주)유한양행,3087,False
Adapalene,adapalene,2022-06-14,DIFFERIN,GALDERMA LABS LP,2007-02-08,아크렌겔(아다팔렌),제이더블유신약(주),-5605,True
Topiramate,topiramate,2003-06-12,TOPAMAX,JANSSEN PHARMS,2007-02-15,토핀정100밀리그램(토피라메이트),태극제약(주),1344,False
Clopidogrel Bisulfate,clopidogrel bi,2001-07-19,PLAVIX,SANOFI AVENTIS US,2007-02-16,에이프로젠클로피도그렐정(클로피도그렐황산염),(주)에이프로젠바이오로직스,2038,False
Hydrocortisone,hydrocortisone,2016-09-08,CORTEF,PHARMACIA AND UPJOHN,2007-02-20,히록손정(히드로코르티손),이연제약(주),-3488,True
Losartan Potassium,losartan,1998-08-31,COZAAR,ORGANON,2007-02-21,코자르탄정100mg(로사르탄칼륨),동아에스티(주),3096,False
Risperidone,risperidone,1997-10-17,RISPERIDONE,JANSSEN PHARMS,2007-02-21,리페리돈정3밀리그램(리스페리돈),환인제약(주),3414,False
Metformin Hydrochloride,metformin,2019-08-12,JANUMET,MSD SUB MERCK,2007-02-21,다이미트엑스알서방정(메트포르민염산염),경동제약(주),-4555,True
Topiramate,topiramate,2003-06-12,TOPAMAX,JANSSEN PHARMS,2007-02-22,토파씬정50밀리그램(토피라메이트)(수출용),(주)바이넥스,1351,False
Bupropion Hydrochloride,bupropion,2011-11-10,BUPROPION HYDROCHLORIDE,TWI PHARMS,2007-03-02,웰부트린엑스엘정300밀리그램(부프로피온염산염),(주)글락소스미스클라인,-1714,True
Bupropion Hydrochloride,bupropion,2011-11-10,BUPROPION HYDROCHLORIDE,TWI PHARMS,2007-03-02,웰부트린엑스엘정150밀리그램(부프로피온염산염),(주)글락소스미스클라인,-1714,True
Fenofibrate,fenofibrate,2025-10-01,FENOFIBRATE,LUPIN,2007-03-02,글리펜슈프림정(페노피브레이트),삼천당제약(주),-6788,True
Fexofenadine Hydrochloride,fexofenadine,2011-01-24,ALLEGRA-D ALLERGY AND CONGESTION,CHATTEM SANOFI,2007-03-05,펙소나딘정30밀리그램(펙소페나딘염산염),한미약품(주),-1421,True
Gemcitabine Hydrochloride,gemcitabine,2016-04-07,GEMCITABINE,HOSPIRA INC,2007-03-06,겜신주200mg(젬시타빈염산염),이연제약(주),-3320,True
Topiramate,topiramate,2003-06-12,TOPAMAX,JANSSEN PHARMS,2007-03-09,토파케이정25mg(토피라메이트),주식회사제뉴원사이언스,1366,False
Losartan Potassium,losartan,1998-08-31,COZAAR,ORGANON,2007-03-14,자로탄정50밀리그램(로사르탄칼륨),(주)서울제약,3117,False
Topiramate,topiramate,2003-06-12,TOPAMAX,JANSSEN PHARMS,2007-03-14,폰다미스정25밀리그램(토피라메이트),제이더블유신약(주),1371,False
Topiramate,topiramate,2003-06-12,TOPAMAX,JANSSEN PHARMS,2007-03-14,토라맥정25mg(토피라메이트),(주)팜젠사이언스,1371,False
Hydrocortisone,hydrocortisone,2016-09-08,CORTEF,PHARMACIA AND UPJOHN,2007-03-15,래피손정(히드로코르티손),코오롱제약(주),-3465,True
Ciprofloxacin,ciprofloxacin,2001-09-14,CIPROFLOXACIN HYDROCHLORIDE,SANDOZ,2007-03-19,시프록주사(시프로플록사신)(수출용),천우신약(주),2012,False
Topiramate,topiramate,2003-06-12,TOPAMAX,JANSSEN PHARMS,2007-03-20,토펙스정25밀리그람(토피라메이트),구주제약(주),1377,False
Topiramate,topiramate,2003-06-12,TOPAMAX,JANSSEN PHARMS,2007-03-20,토맥정 25밀리그램(토피라메이트),조아제약(주),1377,False
Metformin Hydrochloride,metformin,2019-08-12,JANUMET,MSD SUB MERCK,2007-03-21,디아폴민정(염산메트포르민)(수출용)(수출명:Celformin Tab.),한국유니온제약(주),-4527,True
Acetaminophen,acetaminophen,2020-02-28,ADVIL DUAL ACTION WITH ACETAMINOPHEN,HALEON US HOLDINGS,2007-03-27,대화아세트아미노펜정500밀리그람(수출용)(수출명:TYLEDOL),대화제약(주),-4721,True
Clopidogrel Bisulfate,clopidogrel bi,2001-07-19,PLAVIX,SANOFI AVENTIS US,2007-03-29,클로그렐정75밀리그램(클로피도그렐황산염),(주)유한양행,2079,False
Levetiracetam,levetiracetam,2014-03-07,KEPPRA,UCB INC,2007-03-30,케프라액(레비티라세탐),한국유씨비제약(주),-2534,True
Metformin Hydrochloride,metformin,2019-08-12,JANUMET,MSD SUB MERCK,2007-04-03,메프민서방정500밀리그램(메트포르민염산염),영일제약(주),-4514,True
Losartan Potassium,losartan,1998-08-31,COZAAR,ORGANON,2007-04-05,코사탄정(로사르탄칼륨),하나제약(주),3139,False
Hyaluronidase,hyaluronidase,2004-12-02,VITRASE,BAUSCH AND LOMB,2007-04-17,하이알라제주(히알루로니다제),(주)휴온스,866,False
Ibuprofen,ibuprofen,2000-01-18,ADVIL COLD AND SINUS,HALEON US HOLDINGS,2007-04-19,유니온이부프로펜정200mg(수출용),한국유니온제약(주),2648,False
Quetiapine Fumarate,quetiapine fumarate,2007-05-17,SEROQUEL XR,CHEPLAPHARM,2007-04-20,쿠티아핀정100밀리그램(쿠에티아핀푸마르산염),영진약품(주),-27,True
Quetiapine Fumarate,quetiapine fumarate,2007-05-17,SEROQUEL XR,CHEPLAPHARM,2007-04-20,쿠에티정(쿠에티아핀푸마르산염),(주)한국파마,-27,True
Quetiapine Fumarate,quetiapine fumarate,2007-05-17,SEROQUEL XR,CHEPLAPHARM,2007-04-20,명문쿠에티아핀정(쿠에티아핀푸마르산염),명문제약(주),-27,True
Quetiapine Fumarate,quetiapine fumarate,2007-05-17,SEROQUEL XR,CHEPLAPHARM,2007-04-20,카세핀정100밀리그램(쿠에티아핀푸마르산염),한림제약(주),-27,True
Acyclovir,acyclovir,2009-07-31,XERESE,BAUSCH,2007-04-26,아나시정200mg(아시클로버),이연제약(주),-827,True
Topiramate,topiramate,2003-06-12,TOPAMAX,JANSSEN PHARMS,2007-04-30,토핀정25밀리그램(토피라메이트),대한뉴팜(주),1418,False
Lamotrigine,lamotrigine,2025-09-16,SUBVENITE,OWP PHARMS,2007-05-02,라비시틴정50밀리그램(라모트리진),한림제약(주),-6712,True
Lidocaine,lidocaine,2014-09-29,ZINGO,POWDER PHARMS,2007-05-03,베라카인스프레이(리도카인),(주)퍼슨,-2706,True
Lidocaine Hydrochloride Hydrate,lidocaine,2014-09-29,ZINGO,POWDER PHARMS,2007-05-08,한국파마리도카인염산염젤리2%,(주)한국파마,-2701,True
Progesterone,progesterone,2016-05-10,ENDOMETRIN,FERRING,2007-05-10,예나트론 질좌제(프로게스테론),(주)베키오바이오젠,-3288,True
Sumatriptan Succinate,sumatriptan succinate,2019-06-10,ZEMBRACE SYMTOUCH,TONIX MEDS,2007-05-14,슈그란정50mg(수마트립탄숙신산염),이연제약(주),-4410,True
Alprostadil,alprostadil,1999-01-20,CAVERJECT,PFIZER,2006-09-11,카버젝트주사20마이크로그람(알프로스타딜),한국화이자제약(주),2791,False
Alprostadil,alprostadil,1999-01-20,CAVERJECT,PFIZER,2006-09-11,카버젝트주사10마이크로그람(알프로스타딜),한국화이자제약(주),2791,False
Topiramate,topiramate,2003-06-12,TOPAMAX,JANSSEN PHARMS,2007-05-14,토파드정25밀리그램(토피라메이트),(주)서울제약,1432,False
Topiramate,topiramate,2003-06-12,TOPAMAX,JANSSEN PHARMS,2007-05-29,토피론정50밀리그램(토피라메이트),한림제약(주),1447,False
Hyaluronidase,hyaluronidase,2004-12-02,VITRASE,BAUSCH AND LOMB,2007-05-31,엘디라제주(히알루로니다제),(주)하원제약,910,False
Lamotrigine,lamotrigine,2025-09-16,SUBVENITE,OWP PHARMS,2007-06-01,라미아트정100밀리그램(라모트리진),(주)대웅제약,-6682,True
Lamotrigine,lamotrigine,2025-09-16,SUBVENITE,OWP PHARMS,2007-06-01,라미아트정25밀리그램(라모트리진),(주)대웅제약,-6682,True
Lamotrigine,lamotrigine,2025-09-16,SUBVENITE,OWP PHARMS,2007-06-01,라미아트정50밀리그램(라모트리진),(주)대웅제약,-6682,True
Mirtazapine,mirtazapine,2001-01-26,REMERON,ORGANON,2007-06-07,미르탁스정30밀리그램(미르타자핀),삼일제약(주),2323,False
Progesterone,progesterone,2016-05-10,ENDOMETRIN,FERRING,2007-06-12,타이유프로게스테론주,(주)베키오바이오젠,-3255,True
Adapalene,adapalene,2022-06-14,DIFFERIN,GALDERMA LABS LP,2007-06-15,엘리아겔(아다팔렌),신일제약(주),-5478,True
Hydrocortisone,hydrocortisone,2016-09-08,CORTEF,PHARMACIA AND UPJOHN,2000-11-07,락티손에이취씨현탁액2.5%(히드로코르티손),제이더블유신약(주),-5784,True
Clindamycin Phosphate,clindamycin phosphate,2023-03-06,XACIATO,ORGANON LLC,2006-09-11,크레오신질크림2%(클린다마이신포스페이트),한국화이자제약(주),-6020,True
Ciprofloxacin Hydrochloride Hydrate,ciprofloxacin,2001-09-14,CIPROFLOXACIN HYDROCHLORIDE,SANDOZ,2007-07-09,씨트로정(시프로플록사신염산염수화물),(주)경보제약,2124,False
Gabapentin,gabapentin,2000-09-19,NEURONTIN,VIATRIS,2007-07-12,파마가바펜틴캡슐100밀리그람,(주)한국파마,2487,False
Oxygen,oxygen,2013-07-23,OXYGEN,ASPEN AIR,1995-08-28,한성의료용산소,한성산업(주),-6539,True
Lamotrigine,lamotrigine,2025-09-16,SUBVENITE,OWP PHARMS,2007-07-20,라비시틴정25밀리그램(라모트리진),한림제약(주),-6633,True
Losartan Potassium,losartan,1998-08-31,COZAAR,ORGANON,2007-07-20,세자르정100mg(로사르탄칼륨),삼익제약(주),3245,False
Acetaminophen,acetaminophen,2020-02-28,ADVIL DUAL ACTION WITH ACETAMINOPHEN,HALEON US HOLDINGS,2007-07-25,맥널티아세트아미노펜시럽(수출용),맥널티제약(주),-4601,True
Losartan Potassium,losartan,1998-08-31,COZAAR,ORGANON,2007-07-25,비알살탄정100밀리그램(로사르탄칼륨),(주)보령,3250,False
Octreotide Acetate,octreotide acetate,1999-07-13,SANDOSTATIN LAR DEPOT,NOVARTIS,2007-07-27,"옥트린라르주사(옥트레오티드아세트산염
)(수출용)",동국제약(주),2936,False
Adapalene,adapalene,2022-06-14,DIFFERIN,GALDERMA LABS LP,2007-07-31,동구아다팔렌겔,(주)동구바이오제약,-5432,True
